"Feature_ID","Symbol"
"MIR1253","MIR1253"
"MIR1185-2","MIR1185-2"
"MIR1203","MIR1203"
"MIR1324","MIR1324"
"MIR1277","MIR1277"
"MIR1827","MIR1827"
"MIR1293","MIR1293"
"MIR1911","MIR1911"
"MIR2053","MIR2053"
"MIR1238","MIR1238"
"MIR1250","MIR1250"
"MIR1226","MIR1226"
"MIR1179","MIR1179"
"MIR1281","MIR1281"
"MIR548F5","MIR548F5"
"MIR1304","MIR1304"
"MIR1236","MIR1236"
"MIR1972-1","MIR1972-1"
"MIR1301","MIR1301"
"MIR1197","MIR1197"
"MIR1264","MIR1264"
"MIR1323","MIR1323"
"MIR1180","MIR1180"
"MIR1539","MIR1539"
"MIR1469","MIR1469"
"MIR2052","MIR2052"
"MIR1910","MIR1910"
"MIR1908","MIR1908"
"MIR1283-1","MIR1283-1"
"MIR2054","MIR2054"
"MIR1305","MIR1305"
"MIR1178","MIR1178"
"MIR548I2","MIR548I2"
"MIR1262","MIR1262"
"MIR1208","MIR1208"
"MIR1227","MIR1227"
"MIR1244-1","MIR1244-1"
"MIR548H3","MIR548H3"
"MIR1251","MIR1251"
"MIR1973","MIR1973"
"RASAL2-AS1","RASAL2-AS1"
"FAM41AY2","FAM41AY2"
"LINC00882","LINC00882"
"BABAM2-AS1","BABAM2-AS1"
"LINC00184","LINC00184"
"FTX","FTX"
"FAS-AS1","FAS-AS1"
"SNORA80B","SNORA80B"
"NCRUPAR","NCRUPAR"
"TSNAX-DISC1","TSNAX-DISC1"
"ZEB2-AS1","ZEB2-AS1"
"SLC25A5-AS1","SLC25A5-AS1"
"LOC100303749","LOC100303749"
"PET117","PET117"
"PITPNA-AS1","PITPNA-AS1"
"NDUFAF4P1","NDUFAF4P1"
"OTX2-AS1","OTX2-AS1"
"SPDYE2B","SPDYE2B"
"ANKRD61","ANKRD61"
"MIR320B2","MIR320B2"
"MIR548K","MIR548K"
"MIR548F2","MIR548F2"
"MIR548M","MIR548M"
"MIR548H2","MIR548H2"
"MIR670","MIR670"
"MIR759","MIR759"
"MIR2117","MIR2117"
"MIR2278","MIR2278"
"MIR718","MIR718"
"MIR663B","MIR663B"
"MIR764","MIR764"
"MIR2114","MIR2114"
"MIR548Q","MIR548Q"
"MIR2276","MIR2276"
"MIR711","MIR711"
"MIR548H4","MIR548H4"
"MIR2116","MIR2116"
"MIR761","MIR761"
"MIR548F4","MIR548F4"
"MIR320D1","MIR320D1"
"MIR548J","MIR548J"
"MIR449C","MIR449C"
"MIR548G","MIR548G"
"HOTTIP","HOTTIP"
"SAP25","SAP25"
"GCSHP3","GCSHP3"
"TRPC5OS","TRPC5OS"
"LOC100335030","LOC100335030"
"SNORA70F","SNORA70F"
"CSN1S2BP","CSN1S2BP"
"LINC00102","LINC00102"
"CHAF1A","CHAF1A"
"SNORA70G","SNORA70G"
"SNORA70D","SNORA70D"
"MACROD2-AS1","MACROD2-AS1"
"TMED11P","TMED11P"
"LOC100379224","LOC100379224"
