Feature_ID,row m/z,row retention time,row identity (all IDs),Identity Mapped,FormulaMapped,KEGG,HMDB,PubChem,row number of detected peaks,Number of non-zero peaks,Percent pre-gap peaks,Percent non-zero peaks,Heavy-labeled flag,Identified flag,Non-heavy identified flag
neg_00267,303.232234,1.127367059,,,,,,,87,88,98.86363636,100,0,0,0
neg_00268,130.0619465,4.947782956,CREATINE,Creatine,C4H9N3O2,C00300,HMDB0000064,586,87,88,98.86363636,100,0,1,1
neg_00269,189.0401633,3.155468649,,,,,,,77,88,87.5,100,0,0,0
neg_00270,346.0551346,4.680516169,2'-DEOXYGUANOSINE 5'-MONOPHOSPHATE;ADENOSINE 5'-MONOPHOSPHATE,2'-Deoxyguanosine 5'-monophosphate|Adenosine 5'-monophosphate,C10H14N5O7P|C10H14N5O7P,C00362|C00020,HMDB0001044|HMDB0000045,65059|6083,2,88,2.272727273,100,0,1,1
neg_00271,343.0252168,2.368342985,,,,,,,40,50,45.45454545,56.81818182,0,0,0
neg_00272,151.025864,3.375409369,XANTHINE,Xanthine,C5H4N4O2,C00385,HMDB0000292,1188,85,88,96.59090909,100,0,1,1
neg_00273,187.0416426,2.670790247,,,,,,,87,87,98.86363636,98.86363636,0,0,0
neg_00274,207.040723,1.315521141,,,,,,,58,69,65.90909091,78.40909091,0,0,0
neg_00275,90.02758852,2.023228021,,,,,,,48,88,54.54545455,100,0,0,0
neg_00276,118.0508407,4.729713999,L-THREONINE;HOMOSERINE;L-ALLOTHREONINE,L-Threonine|Homoserine|L-Allothreonine,C4H9NO3|C4H9NO3|C4H9NO3,C00188|C00263|C05519,HMDB0000167|HMDB0000719|HMDB0004041,6288|12647|99289,74,88,84.09090909,100,0,1,1
neg_00277,74.02466132,5.417245138,GLYCINE,Glycine,C2H5NO2,C00037,HMDB0000123,750,85,88,96.59090909,100,0,1,1
neg_00278,362.0446074,2.368929356,,,,,,,58,59,65.90909091,67.04545455,0,0,0
neg_00279,431.0904657,4.873818395,,,,,,,87,87,98.86363636,98.86363636,0,0,0
neg_00280,111.0198325,2.517327203,URACIL,Uracil,C4H4N2O2,C00106,HMDB0000300,1174,81,88,92.04545455,100,0,1,1
neg_00281,180.066373,4.164773169,L-TYROSINE,L-Tyrosine,C9H11NO3,C00082,HMDB0000158,6057,87,88,98.86363636,100,0,1,1
neg_00282,89.00871179,2.666205309,,,,,,,65,88,73.86363636,100,0,0,0
neg_00283,89.03964338,2.665125926,,,,,,,60,88,68.18181818,100,0,0,0
neg_00284,214.0482308,5.430563784,,,,,,,86,88,97.72727273,100,0,0,0
neg_00285,112.0514938,2.871469113,CREATININE,Creatinine,C4H7N3O,C00791,HMDB0000562,588,86,88,97.72727273,100,0,1,1
neg_00286,165.0401162,4.065909387,,,,,,,83,88,94.31818182,100,0,0,0
neg_00287,306.0575104,2.979653952,,,,,,,87,88,98.86363636,100,0,0,0
neg_00288,245.0426405,4.025791151,,,,,,,87,88,98.86363636,100,0,0,0
neg_00289,212.0018925,2.373350653,INDOXYL SULFATE,Indoxyl sulfate,C8H7NO4S,,HMDB0000682,10258,87,88,98.86363636,100,0,1,1
neg_00290,323.0277752,5.404965562,URIDINE-5-MONOPHOSPHATE,Uridine-5-monophosphate,C9H13N2O9P,C00105,HMDB0000288,6030,86,87,97.72727273,98.86363636,0,1,1
neg_00291,179.0558665,4.078417624,D-FRUCTOSE;ALPHA-D-GLUCOSE;D-TAGATOSE;D-PSICOSE,D-Fructose|Alpha-D-Glucose|D-Tagatose|D-Psicose,C6H12O6|C6H12O6|C6H12O6|C6H12O6,C02336|C00267|C00795|,HMDB0000660|HMDB0003345|HMDB0003418|HMDB0250793,439709|79025|14408225|3426,83,88,94.31818182,100,0,1,1
neg_00292,224.5631653,2.359889769,,,,,,,2,87,2.272727273,98.86363636,0,0,0
neg_00293,763.5591876,2.356337159,,,,,,,87,88,98.86363636,100,0,0,0
neg_00294,131.0460221,5.203361197,L-ASPARAGINE,L-Asparagine,C4H8N2O3,C00152,HMDB0000168,6267,87,88,98.86363636,100,0,1,1
neg_00295,224.0614843,1.254424245,,,,,,,58,88,65.90909091,100,0,0,0
neg_00296,174.0166771,4.561350317,,,,,,,4,88,4.545454545,100,0,0,0
neg_00297,134.0470421,2.612397251,ADENINE,Adenine,C5H5N5,C00147,HMDB0000034,190,31,88,35.22727273,100,0,1,1
neg_00298,129.0191653,2.56911775,CITRACONIC ACID,Citraconic acid,C5H6O4,C02226,HMDB0000634,643798,76,88,86.36363636,100,0,1,1
neg_00299,556.3242444,1.312361357,,,,,,,87,88,98.86363636,100,0,0,0
