Feature_ID,row m/z,row retention time,row identity (all IDs),Metabolite,Mapping Type,FormulaMapped,KEGG,HMDB,PubChem,row number of detected peaks,Number of non-zero peaks,Percent pre-gap peaks,Percent non-zero peaks,Heavy-labeled flag,Identified flag,Non-heavy identified flag
neg_00169,87.008617,5.292718,,,,,,,,20,20,100,100,0,0,0
neg_00170,335.049296,4.058435,,,,,,,,20,20,100,100,0,0,0
neg_00171,163.840080,4.339619,,,,,,,,20,20,100,100,0,0,0
neg_00172,214.048301,5.306243,,,,,,,,20,20,100,100,0,0,0
neg_00174,135.030971,3.240976,,,,,,,,20,20,100,100,0,0,0
neg_00175,792.538553,1.065725,,,,,,,,20,20,100,100,0,0,0
neg_00176,234.025189,5.065808,,,,,,,,20,20,100,100,0,0,0
neg_00177,82.954030,2.448310,,,,,,,,20,20,100,100,0,0,0
neg_00179,80.011663,13.933964,,,,,,,,20,20,100,100,0,0,0
neg_00180,232.924343,4.311568,,,,,,,,18,20,90,100,0,0,0
neg_00181,111.019790,2.848968,,,,,,,,20,20,100,100,0,0,0
neg_00182,198.904962,14.571200,,,,,,,,20,20,100,100,0,0,0
neg_00183,312.907957,4.316354,,,,,,,,18,20,90,100,0,0,0
neg_00184,430.231412,1.295351,,,,,,,,20,20,100,100,0,0,0
neg_00185,145.050405,1.138963,Mono-Methyl Glutarate,Mono-Methyl Glutarate,1A,C6H10O4,,HMDB0000858,73917,20,20,100,100,0,1,1
neg_00186,115.039873,2.085931,,,,,,,,20,20,100,100,0,0,0
neg_00187,514.283557,1.227604,,,,,,,,9,19,45,95,0,0,0
neg_00188,131.045959,4.334468,,,,,,,,20,20,100,100,0,0,0
neg_00189,226.829992,2.991307,,,,,,,,20,20,100,100,0,0,0
neg_00190,164.038452,4.267238,,,,,,,,20,20,100,100,0,0,0
neg_00191,97.065717,1.280080,,,,,,,,5,20,25,100,0,0,0
neg_00192,218.103011,2.218184,D-Pantothenic acid,D-Pantothenic acid,1A,C9H17NO5,C00864,HMDB0000210,6613,20,20,100,100,0,1,1
neg_00193,297.152606,1.029488,,,,,,,,20,20,100,100,0,0,0
neg_00194,115.039773,1.330601,Methyl acetoacetate,Methyl acetoacetate,1A,C5H8O3,,HMDB0000310,7757,18,20,90,100,0,1,1
neg_00196,272.882829,5.533266,,,,,,,,10,20,50,100,0,0,0
neg_00197,272.882819,6.608614,,,,,,,,20,20,100,100,0,0,0
neg_00198,139.984322,4.588134,,,,,,,,20,20,100,100,0,0,0
neg_00199,187.041641,2.655153,,,,,,,,20,20,100,100,0,0,0
neg_00200,103.003516,4.102131,,,,,,,,20,20,100,100,0,0,0
neg_00201,121.999405,2.039012,,,,,,,,6,20,30,100,0,0,0
neg_00202,116.071496,3.845634,L-Valine;L-Norvaline,L-Valine|L-Norvaline,1A|1A,C5H11NO2|C5H11NO2,C00183|C01826,HMDB0000883|HMDB0013716,6287|65098,20,20,100,100,0,1,1
neg_00204,74.024638,5.327448,Glycine,Glycine,1A,C2H5NO2,C00037,HMDB0000123,750,20,20,100,100,0,1,1
neg_00205,205.159424,1.142993,,,,,,,,20,20,100,100,0,0,0
neg_00206,206.949553,13.938247,,,,,,,,20,20,100,100,0,0,0
neg_00208,258.920576,4.314948,,,,,,,,17,20,85,100,0,0,0
neg_00209,201.026110,4.589810,,,,,,,,16,20,80,100,0,0,0
neg_00210,179.038019,5.322418,,,,,,,,20,20,100,100,0,0,0
neg_00212,190.954690,13.944010,,,,,,,,20,20,100,100,0,0,0
neg_00213,239.059332,1.026754,,,,,,,,20,20,100,100,0,0,0
neg_00214,133.065680,1.142078,,,,,,,,20,20,100,100,0,0,0
neg_00215,612.795639,13.945003,,,,,,,,20,20,100,100,0,0,0
neg_00216,227.128656,1.278001,,,,,,,,16,20,80,100,0,0,0
neg_00217,506.831288,13.941647,,,,,,,,20,20,100,100,0,0,0
neg_00218,297.133816,1.866204,,,,,,,,10,20,50,100,0,0,0
neg_00221,436.282669,1.230468,,,,,,,,20,20,100,100,0,0,0
neg_00222,195.050667,4.350351,,,,,,,,20,20,100,100,0,0,0
neg_00223,128.035098,4.835462,,,,,,,,20,20,100,100,0,0,0
neg_00224,162.842228,4.336004,,,,,,,,19,20,95,100,0,0,0
neg_00225,370.973917,2.943433,,,,,,,,20,20,100,100,0,0,0
neg_00226,265.147487,1.032678,,,,,,,,19,20,95,100,0,0,0
neg_00227,115.051452,4.323134,,,,,,,,20,20,100,100,0,0,0
neg_00228,158.020418,4.581512,,,,,,,,17,20,85,100,0,0,0
neg_00229,116.071509,3.309800,Betaine,Betaine,1A,C5H11NO2,C00719,HMDB0000043,247,20,20,100,100,0,1,1
neg_00230,127.039846,2.365842,,,,,,,,20,20,100,100,0,0,0
